|q|a|d
118|巫山脆李的主要加工方式有哪些|巫山脆李的加工方式包括果脯、果酱、果汁和果酒等。|12
119|重庆李产业在“十三五”期间的重点培育项目是什么？|重庆李产业在“十三五”期间的重点培育项目是脆李特色效益果业。|12
120|巫山县及其周边地区海拔在500~1000米的库区适宜种植哪些水果？|巫山县及其周边地区海拔在500~1000米的库区适宜种植脆李、脐橙、龙眼荔枝等水果。|12
121|重庆市37个涉农区县中，有多少个区县的李栽培面积超过1000公顷？|重庆市37个涉农区县中有20个区县的李栽培面积超过1000公顷。|12
122|巫山脆李成熟期主要集中在什么时候？|巫山脆李成熟期主要集中在7月上旬的15天左右。|13
123|巫山脆李在重庆市的种植面积预计发展到多少公顷？|巫山脆李在重庆市的种植面积预计发展到10万公顷，其中5万公顷达到盛果期。|13
124|针对裂果问题，提出了哪些防控措施？|针对裂果问题，提出了开展李果实裂果的研究及推广，从园地水肥管理、土壤管理、化学防治上入手，推广适度延长果实货架期的技术。|13
125|巫山脆李上市的压力主要来源于哪些因素？|巫山脆李上市的压力主要来源于其上市期短、产量高、销售压力大，预计每年有近75万吨青脆李集中在15天左右上市。|13
126|樱桃李原产于哪些地区|巴尔干半岛到高加索山区、西亚地区|14
127|欧洲李起源于哪两个种间的杂种|樱桃李和黑刺李|15
128|北美洲主要栽培哪种李|美洲李|15
129|中国有多少种李属植物|9个种|15
130|李属植物全球有多少个种|19~40个种|15
131|李树的生物学特性有哪些|落叶乔木，高9~12米；树冠广圆形，树皮灰褐色，起伏不平；老枝紫褐色或红褐色，无毛；小枝黄红色，无毛；冬芽卵圆形，红紫色，有数枚覆瓦状排列鳞片，通常无毛，稀鳞片边缘有极稀疏毛。叶片长圆倒卵形、长椭圆形，稀长圆卵形，长6~12厘米，宽3~5厘米，先端渐尖、急尖或短尾尖，基部楔形，边缘有圆钝重锯齿，常混有单锯齿，幼时齿尖带腺，上面深绿色，有光泽，侧脉6~10对，不达到叶片边缘，与主脉呈45°角，两面均无毛，有时下面沿主脉有稀疏柔毛或脉腋有髯毛；托叶膜质，线形，先端渐尖，边缘有腺，早落；叶柄长1~2厘米，通常无毛，顶端有2个腺体或无，有时在叶片基部边缘有腺体。|16
132|李树的营养价值如何|未提供相关信息。|16
133|李砧深层根系分布的特点是什么？|李砧深层根系分布多，毛桃砧介于李砧和毛樱桃砧木之间。|17
134|复花芽和单花芽在枝条上的分布与什么有关？|复花芽和单花芽的数量及其在枝条上的分布，与品种特性、枝条类型以及枝条的营养和光照状况有关。|17
135|复花芽和单花芽在丰产性状上有什么区别？|同一品种内复花芽比单花芽结的果大，含糖量高。|17
136|叶芽萌发后会产生什么？|叶芽萌发后抽生发育枝。|17
137|李的花芽是什么类型的芽？|李的花芽为纯花芽，每个花芽包含1~4朵花。|17
138|李的萌芽力如何？|李的萌芽力强。|17
139|李的枝条性质可以分为哪两类？|李的枝根据枝条的性质可分为营养枝和结果枝两类。|17
140|芽李的芽有哪些类型？|芽李的芽有花芽和叶芽两种。|17
141|李高效生产及绿色防控技术的相关问题|答案|17
142|复芽是如何形成的？|根据芽在枝节上的着生情况，可分为单芽和复芽。两个芽并生的多为1个叶芽和1个花芽，也有2个芽都是花芽。3个芽并生的，多数中间是叶芽，两侧是花芽，也有2个叶芽与1个花芽并列或3个花芽并列。|17
143|李新梢上的芽什么时候可以萌发？|李新梢上的芽当年可以萌发，连续形成二次梢或三次梢。|17
144|中果枝的特点是什么？|中果枝长15~30厘米，其上部为单花芽，下部为复花芽。结果后也可抽生花束状果枝。|18
145|李树的营养枝是什么？|李树的营养枝一般指当年生新梢，生长较壮，组织比较充实，营养枝上着生叶芽，叶芽抽生新梢，扩大树冠和形成新的枝组。|18
146|李树的生物学特性有哪些？|李树的生物学特性包括营养枝的定义和作用，以及结果枝的不同类型和特点。|18
147|李树的结果枝有哪些类型？|李树的结果枝分为以下5种类型：徒长性果枝、长果枝、中果枝、短果枝和花束状果枝。|18
148|长果枝的特点是什么？|长果枝枝条长30~60厘米，发育充实，一般不发生副梢。中部复芽较多，不仅结果能力强，而且还能形成健壮的花束状果枝，为以后连续结果打下基础。此类枝多发生在主、侧枝的中部。|18
149|徒长性果枝的特点是什么？|徒长性果枝长1米左右，枝条的下部多为叶芽，上部多为复花芽，副梢少而发生较晚。生长过旺，花弱果小，结果后仍能萌发较旺新梢，故常利用其培养健壮枝组。此类枝多发生在树冠内膛及上部延长枝上。|18
150|短果枝的特点是什么？|短果枝长5~15厘米，其上多为单花芽，复芽少。2~3年生短果枝结实力高，5年生以上结实力减退。|18
151|花束状果枝的特点是什么？|花束状果枝长度在5厘米以下，除顶芽为叶芽外，其下为排列密集的花芽。花束状果枝粗壮，花芽发育充实，坐果多，果个大，但坐果过多，会影响顶端叶芽的延伸，甚至枯死。|18
152|李树的物候期是什么？|李树的物候期是与当年气候季节性变化相吻合的李生长发育的规律性变化日程，反映了李内部生理机能或外部形态上的变化。|18
153|请问巫山脆李在巫山县海拔400~500米地区的物候期是怎样的？|巫山脆李在巫山县海拔400~500米地区的物候期如下：根系生长期从2月中旬开始至11月下旬结束，萌芽期花芽萌动期为3月初，新梢生长期包括4月初第一次抽梢期，5月下旬第二次抽梢期，6月下旬第三次抽梢期，展叶期春梢初展叶期在3月下旬，落叶期在11月中下旬，花芽分化期从7月下旬开始至11月底结束。|19
154|请问巫山脆李在哪个时期会进入盛花期？|巫山脆李在3月下旬进入盛花期。|19
155|请问巫山脆李新品种宛青的根系生长高峰期具体时间是什么时候？|巫山脆李新品种宛青的根系生长高峰期具体时间如下：第一次从2月下旬开始至3月上旬，第二次从5月上旬至5月下旬，第三次从7月中旬至10月上旬。|19
156|请问巫山脆李新品种宛青的根系生长高峰期有几次？|巫山脆李新品种宛青的根系生长高峰期有三次。|19
157|请问巫山脆李的新梢生长期包括哪些时间段？|巫山脆李的新梢生长期包括：4月初第一次抽梢期，5月下旬第二次抽梢期，6月下旬第三次抽梢期。|19
158|李树的生物学特性及营养价值有哪些|李树的生物学特性包括开花期、落花落果期、果实发育期和成熟期。开花期在3月上中旬至下旬，整个花期约为20天。落花落果期在3月下旬，春梢的萌发会影响坐果。果实发育期分为三个时期：第一次迅速生长期在4月，第二次缓慢生长期在6月，第三次迅速生长期至成熟期在7月上旬至8月初。果实成熟期在8月上旬，果实发育期约为130天，但受海拔高度、温度和雨水的影响，成熟期会有所差异。李树的根系属浅根系，多分布于距地表5~40厘米的土层内，砧木种类不同，根系分布的深浅也会有所不同。根系的活动受温度、湿度、通气状况、土壤营养状况以及树体营养状况的制约，一般无自然休眠期，温度适宜时一年之内均可生长。土壤湿度以田间持水量的60%~80%为宜。李树的根系生长节奏与地上部各器官的活动密切相关，一般幼树一年中有3次生长高峰。|20
159|李树的枝、芽生长节奏是什么？|李树的芽分为花芽和叶芽两种，花芽为纯花芽，每芽中有1~2朵花；叶芽萌发后抽枝长叶，枝叶的生长同样与环境条件和栽培技术密切相关。李在一年之中的生长有一定节奏性，如早春萌芽后，新梢生长较慢，有7~10天的叶簇期，叶片小，节间短，芽较小，主要依靠树体前一年的贮藏营养。随气温升高，根系的生长和叶片增多，新梢进入旺盛生长期，此期枝条节间长，叶片大，叶腋间的芽充实、饱满，芽体大，是水分临界期，对水分反应较敏感，要注意水分的管理，不要过多或过少。此期过后，新梢生长减缓，中、短梢停长积累养分，花芽进入旺盛分化期。雨季后新梢又进入一次旺长期——秋梢生长。秋梢生长要适当控制，注意排水和旺枝的控制，以防幼树越冬抽条及冻害的发生。|21
160|李树对环境的要求是什么？|李树对温度的要求因种类和品种而异。中国李对温度的适应性强，在北方冬季低温地带和南方炎热地区均可栽培。欧洲李原产西亚和欧洲，适于在温暖地区栽培，抗寒力不如中国李。美洲李比较耐寒，在我国吉林、黑龙江等地栽培较多，不加特殊保护即可越冬。李生长季节的适温为20~30℃，开花最适温度为12∼16℃。李花期易受低温冻害，不同发育期的有害低温也不相同，花蕾期为−5℃，开花期为−2.7℃，幼果期为−1.1℃。李开花较早，花期易受霜害，在重庆地区海拔超过1000米区域要注意李花期冻害，建园时要注意选择地势和坡向。|21
161|李树的根系生长节奏是什么？|李树的根系在春季活动后生长缓慢，直到新梢停止生长时出现第一次发根高峰，这是全年的发根季节；到了秋季，出现第二次发根高峰，但这次高峰不明显，持续的时间也不长。|21
162|李树对光照有什么要求？|李树为喜光树种，通风透光良好的果园和树体果实着色好，糖分高，枝条粗壮，花芽饱满。阴坡和树膛内光照差的地方果实成熟晚，品质差，枝条细弱，叶片薄。栽植李应在光照较好的地方并将李树修整成合理的树形，对高产优质十分必要。|22
163|李树对水分的要求是什么？|李树对水分的要求因品种、砧木不同而有所差异。欧洲李喜湿润环境，中国李适应性较强。毛桃砧抗旱性差，耐涝性强；山桃砧耐涝性差，抗旱性强；毛樱桃砧根系浅，不太抗旱。在干旱地区需要保障灌溉条件，在低洼黏重的土壤上要注意雨季排涝。|22
164|李树对土壤的适应性如何？|李树对土壤的适应性以中国李最强，几乎在各种土壤上均有较强的适应能力。欧洲李、美洲李适应性不如中国李，但所有李均以土层深厚的沙壤或中壤土栽培表现好。黏性土壤和沙性过强的土壤应加以改良。|22
165|成熟李每100克可食部分含有哪些营养成分？|成熟李每100克可食部分含有热量192.5千焦、水分87.2克、碳水化合物11.4克、糖9.92克、膳食纤维1.4克、脂肪0.28克、蛋白质0.7克、维生素C9.5毫克、维生素A17微克、β-胡萝卜素190微克、叶黄素和玉米黄素35微克、维生素B₁0.028毫克、钾157毫克、钙6毫克、铁0.17毫克、锌0.1毫克。|22
166|恐龙蛋、味帝、味厚等杏李品种果实的主要糖成分是什么？|山梨醇、蔗糖、葡萄糖和果糖|23
167|李果实中维生素C的含量如何变化|早期下降，后期略有上升|24
168|哪些因素会影响李果实中维生素C的含量|果实的成熟度|24
169|李果实中哪种有机酸含量最低|莽草酸|24
170|周丹蓉用哪些物质为试验材料测定果皮中花色素苷、类黄酮和类胡萝卜素含量|14个李品种|25
171|李果实中主要的花青苷有哪些|矢车菊素-3-葡萄糖苷(cyanidin–3–glucoside)和矢车菊素-3-芸香糖苷(cyanidin–3–rutinoside)|25
172|李果实色泽发育中类黄酮含量呈什么趋势|先下降后提高|25
173|张元慧分别测定果皮和果肉类黄酮的含量，发现哪些品种果皮中类黄酮含量较多|美丽李、黑宝石、红肉李和长李15|25
174|张元慧分别测定果皮和果肉类黄酮的含量，发现哪些品种果肉中类黄酮含量最高|大石早生和安哥诺|25
175|不同李品种间的花青苷含量是否存在差异？|存在极显著差异|26
176|王瑾的试验中，红肉李果实花青苷合成与哪些物质代谢有关？|叶绿素、可溶性糖、酸|26
177|李果皮颜色与花青苷含量有什么关系？|花青苷含量越多，果皮颜色越深|26
178|李果实中的花青苷有哪些种类？|矢车菊素-3-葡萄糖苷和矢车菊素-3-芸香糖苷|26
179|李果实中已鉴定出多少种香气成分？|100多种|27
180|黑宝石李果实中检测出多少种香气成分？|49种|27
181|李泰山对哪些杏李品种果实中的香气组分与含量进行了测定？|风味玫瑰、味帝、味王、恐龙蛋、味厚和风味皇后|27
182|哪些成分随着果实成熟含量逐渐升高，对黑宝石李的香气形成贡献较大？|3-羟基-2-丁酮、苯甲醛、㮈榈酸、反式肉桂酸、乙酸丁酯、乙酸己酯、γ-十二内酯以及22，23-二氢豆甾醇|27
183|欧洲李中富含哪种膳食纤维？|果胶|28
184|欧洲李的抗氧化活性如何被认为的？|在欧美得到广泛认可|28
185|欧洲李属于哪一类水果？|深色水果|28
186|哪些水果和蔬菜被认为可以缓解老化相关的认知缺陷？|富含体外抗氧化活力及抗炎症活力的水果及蔬菜，尤其是深色的水果与蔬菜|28
187|欧洲李果汁如何缓解老龄化大鼠的认知缺陷？|通过提高在水迷宫中的表现|28
188|李果实中的多酚类物质在大肠起到什么作用？|作为过氧化物清除剂，发挥抗氧化作用|28
189|欧洲李如何抑制脂质氧化？|通过丰富的抗氧化物质|28
190|欧洲李如何保护心血管系统？|通过降低血液胆固醇水平，尤其是降低低密度脂蛋白胆固醇(LDL-C)水平|28
191|欧洲李鲜果中膳食纤维的含量是多少？|100克欧洲李鲜果中膳食纤维的含量高达6~7克|28
192|李鲜果中的膳食纤维如何预防结肠癌变？|通过稀释粪便胆汁酸，降低结肠传输时间，增加肠腔内短链脂肪酸浓度|28
193|欧洲李含有的木糖醇和山梨糖醇对肠道有什么影响？|木糖醇可以促进胃排空和降低肠通过时间，山梨糖醇具有通便效果并引起肠道菌群改变。|29
194|西梅和欧洲李如何帮助骨骼健康？|西梅和欧洲李含有抗氧化物质，可以清除损伤性自由基，抑制骨吸收和刺激骨形成，同时富含的硼和钾对促进骨健康有积极作用。|29
195|李核仁中的苦杏仁苷和脂肪油有什么药理作用？|苦杏仁苷和脂肪油具有利水降压作用和止咳祛痰功效。|29
196|李花在《本草纲目》中被记载有什么美容作用？|李花可以用于面脂中，有去粉滓黑黯、令人面泽的作用，对汗斑、脸生黑斑等有良效。|29
197|重庆地区李子栽培建议的年平均温度是多少|8~18℃|30
198|重庆地区李子栽培建议的采前一个月内的降水量是多少毫米|不宜超过50毫米|30
199|重庆地区李子栽培建议的年日照时数是多少小时|1200小时以上|30
200|重庆地区李子栽培建议的无霜期是多少天|120天以上|30
201|重庆地区李子栽培建议的年降水量是多少毫米|大于800毫米|30
202|重庆适合种植李子的海拔范围是多少|180~1500米|30
203|巫山脆李是什么品种的李子|巫山脆李|30
204|重庆地区李子栽培建议的最暖月平均温度是多少|16.6℃以上|30
205|重庆地区李子栽培建议的最冷月平均温度是多少|-1.1℃以上|30
206|巫山脆李是在哪个地区种植的|巫山县曲尺乡柑园村|30
207|巫山脆李的种植面积截至2020年有多少亩|28万余亩|31
208|巫山脆李的果实特性包括什么|果实青、脆、离核，酸甜适度|31
209|巫山脆李在哪些区县进行了种植推广|巫山县、奉节县、巫溪县、云阳县、秀山县、北碚区|31
210|巫山脆李的区域性试验观察是在哪些地方进行的|孙家镇田湾村、溪口乡九树村和分水镇石碾村4社|31
211|巫山脆李的果实特性是如何描述的|果实中熟，大果特性明显|31
212|巫山脆李的成熟采摘期是什么时候|6月20日—7月20日|31
213|巫山脆李的地理标志产品范围包括哪些区县|重庆三峡库区巫山、巫溪、奉节、云阳、开州、万州等区县|31
214|巫山脆李的品种是如何命名的|巫山脆李(渝品审鉴2016015)|31
215|巫山脆李具有哪些特点|抗性适应性较强、易生产管理|31
216|巫山脆李的高接换种是在哪一年进行的|2010年|31
217|巫山脆李获得了哪个部门的《植物新品种权证书》|国家农业农村部|31
218|巫山脆李的平均单果重是多少克左右|35克左右|31
219|金翠李是在哪一年通过重庆市农作物新品种鉴定的？|2014年|32
220|金翠李与当地青脆李品种相比，成熟期延迟了多少天？|30~50天|32
221|金翠李是由哪个果树站发现的？|开县果树站|32
222|金翠李是在哪一年开始试花结果的？|2006年|32
223|金翠李第三年桃高接换种后多久可以结果？|第二年|32
224|宛青李的对土质要求是什么？|不严，但以疏松肥沃、土壤深厚、透气性良好为佳|33
225|宛青李的果实去皮硬度约是多少千克/厘米²？|6.8千克/厘米²|33
226|宛青李每100克果肉含维生素C含量是多少毫克？|7.64毫克|33
227|宛青李的适宜土壤pH范围是多少？|6.0~7.8|33
228|宛青李的市场前景如何？|较好|33
229|宛青李的适宜栽培海拔范围是多少？|100~1200米|33
230|宛青李的最大果重是多少克？|58克|33
231|宛青李的果实纵径是多少毫米？|35.5毫米|33
232|宛青李的果实形状是什么？|扁圆形|33
233|宛青李的可溶性糖含量是多少？|8.42%|33
234|宛青李的可滴定酸含量是多少？|0.67%|33
235|宛青李的单果平均重量是多少克？|30.23克|33
236|宛青李的果实横径是多少毫米？|40.6毫米|33
237|宛青李的果肉颜色是什么？|淡黄或黄色|33
238|宛青李的果皮颜色是什么？|绿色，偶着少量红色|33
239|宛青李的可食率是多少？|97.75%|33
240|宛青李的可溶性固形物含量范围是多少？|13.1%~17.4%|33
241|重庆市李栽培地区无霜期要求多少天以上？|无霜期要求120天以上。|34
242|采前1个月内的降水量不宜超过多少毫米？|不宜超过50毫米。|34
243|在重庆市建立李高效生产及绿色防控技术标准园，园地选择上应该避免哪些地形？|应避免选择谷地、盆地或山坡底部等冷空气容易集结的地方。|34
244|重庆市李栽培地区年日照时数要求多少小时以上？|年日照时数要求1200小时以上。|34
245|在丘陵山区建设宜机化果园时，对于坡度大于25°的地块应采取什么建设方案？|应通过小区合理布局、土地整治，达到小型机械可操作、省力化种植的目的。|34
246|重庆市李栽培地区最冷月的平均气温应该在多少摄氏度以上？|最冷月的平均气温应该在-1.1℃以上。|34
247|重庆市李栽培地区最暖月的平均温度要求是多少摄氏度以上？|最暖月的平均温度要求在16.6℃以上。|34
248|重庆市李栽培地区年平均温度范围是多少摄氏度？|年平均温度应在8~18℃之间。|34
249|重庆市李栽培地区年降水量要求大于多少毫米？|年降水量要求大于800毫米。|34
250|在梯台整治成形后，应该怎样处理表土？|将表土均匀平铺，耕层厚度达到农艺要求|35
